body_type,sex,diet,how_often_shower,heating_energy_source,transport,vehicle_type,social_activity,monthly_grocery_bill,frequency_of_traveling_by_air,vehicle_monthly_distance_km,waste_bag_size,waste_bag_weekly_count,how_long_tv_pc_daily_hour,how_many_new_clothes_monthly,how_long_internet_daily_hour,energy_efficiency,recycling,cooking_with,co2,type,country,year,coal_co2,oil_co2,gas_co2,cement_co2,flaring_co2,other_industry_co2
3,1,2,1,1,2,5,2,230.0,1,210.0,2,4.0,7.0,26.0,1.0,1,10,15,2238.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,2,3,3,5,2,114.0,3,9.0,1,3.0,9.0,38.0,5.0,1,10,13,1892.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,3,4,1,6,1,138.0,2,2472.0,4,1.0,14.0,47.0,6.0,2,10,11,2595.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,4,4,3,5,3,157.0,3,74.0,3,3.0,20.0,5.0,7.0,2,5,3,1074.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,1,1,1,1,2,266.0,4,8457.0,2,1.0,3.0,5.0,6.0,3,14,14,4743.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,2,4,2,5,3,144.0,1,658.0,2,1.0,22.0,18.0,9.0,2,4,12,1647.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,2,4,1,3,1,56.0,3,5363.0,3,4.0,9.0,11.0,19.0,2,0,2,1832.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,3,1,3,5,3,59.0,4,54.0,1,3.0,5.0,39.0,15.0,1,8,13,2322.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,1,4,2,5,1,200.0,1,1376.0,3,3.0,3.0,31.0,15.0,3,2,3,2494.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,1,4,2,5,2,135.0,3,440.0,1,1.0,8.0,23.0,18.0,2,2,3,1178.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,3,4,2,5,1,146.0,2,1561.0,1,4.0,12.0,27.0,21.0,1,15,13,1427.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,3,1,3,5,1,111.0,4,69.0,3,5.0,9.0,4.0,4.0,2,0,12,3226.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,4,1,3,5,2,114.0,3,92.0,2,3.0,18.0,27.0,4.0,3,16,16,1593.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,2,2,1,4,3,111.0,3,2893.0,2,6.0,13.0,16.0,10.0,2,6,5,1732.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2,3,2,5,2,123.0,3,1989.0,4,6.0,13.0,23.0,8.0,1,12,15,1743.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,2,2,2,5,1,225.0,4,692.0,4,6.0,9.0,24.0,15.0,1,5,15,2101.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,3,2,3,5,2,219.0,1,7.0,1,4.0,23.0,42.0,14.0,2,0,4,2609.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,1,4,2,5,2,104.0,3,948.0,2,6.0,1.0,6.0,22.0,3,14,9,1565.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,3,2,1,6,2,126.0,4,7622.0,3,2.0,6.0,37.0,9.0,2,0,16,5272.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,4,3,5,2,288.0,2,51.0,4,4.0,15.0,22.0,6.0,1,4,15,1220.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,4,2,1,2,2,282.0,3,2237.0,2,6.0,0.0,8.0,5.0,1,6,7,1300.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,2,4,2,5,1,69.0,3,1804.0,2,1.0,6.0,3.0,7.0,1,10,12,1024.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,4,4,3,5,3,110.0,2,85.0,4,3.0,14.0,4.0,3.0,2,5,5,706.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,1,1,1,1,2,165.0,1,472.0,4,4.0,17.0,24.0,20.0,3,7,10,2582.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,1,1,1,1,3,62.0,4,5737.0,3,1.0,5.0,20.0,20.0,3,11,2,4284.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,2,2,3,5,3,94.0,3,88.0,3,6.0,17.0,0.0,3.0,2,12,5,807.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,1,2,2,5,2,259.0,1,558.0,2,4.0,4.0,50.0,23.0,2,10,7,1991.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,2,2,2,5,3,67.0,3,752.0,2,3.0,14.0,37.0,14.0,2,16,16,1817.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,1,4,3,5,1,130.0,3,71.0,4,2.0,10.0,15.0,10.0,1,2,7,1490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,2,2,2,5,1,258.0,1,1028.0,4,2.0,13.0,44.0,4.0,3,3,4,1561.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,3,4,2,5,3,189.0,1,1527.0,3,4.0,23.0,34.0,10.0,3,3,3,2202.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
